  id   | map_id | trs_path  
-------+--------+-----------
     2 |      1 | 1N.1W.3
     3 |      1 | 1N.1W.4
     9 |      2 | 2N.2W.3
    12 |      2 | 2N.2W.10
    14 |      3 | 2N.2W.2
    15 |      3 | 2N.2W.11
    22 |      4 | 3N.2W.22
    27 |      5 | 6N.1E.19
    29 |      6 | 2N.1E.8
    30 |      6 | 2N.1E.17
    35 |      8 | 2S.4E.11
    38 |      8 | 2S.4E.14
    45 |      9 | 3N.1W.33
    49 |     10 | 3N.1W.31
    51 |     11 | 2N.2W.2
    52 |     11 | 2N.2W.11
    59 |     12 | 2N.1W.1
    60 |     12 | 2N.1W.2
    62 |     12 | 2N.1W.12
    65 |     12 | 3N.1W.35
    69 |     13 | 2N.2W.2
    70 |     13 | 2N.2W.11
    79 |     15 | 3N.1W.6
    80 |     16 | 2N.1W.5
    82 |     17 | 5N.1E.3
    83 |     17 | 5N.1E.4
    85 |     17 | 6N.1E.28
    86 |     17 | 6N.1E.29
    88 |     17 | 6N.1E.33
    90 |     18 | 6N.1E.21
    93 |     18 | 6N.1E.28
    94 |     18 | 6N.1E.29
   100 |     19 | 3N.1W.35
   115 |     21 | 7N.1E.26
   123 |     22 | 3N.1W.35
   125 |     23 | 3N.1W.35
   126 |     24 | 4N.1W.2
   127 |     24 | 4N.1W.3
   132 |     24 | 4N.1W.14
   134 |     25 | 5N.1W.27
   135 |     25 | 5N.1W.28
   136 |     25 | 5N.1W.33
   137 |     25 | 5N.1W.34
   138 |     26 | 5N.1W.27
   139 |     26 | 5N.1W.28
   140 |     26 | 5N.1W.33
   141 |     26 | 5N.1W.34
   145 |     28 | 2N.1W.2
   146 |     28 | 3N.1W.35
   147 |     29 | 2N.1W.12
   149 |     30 | 2N.2W.2
   152 |     30 | 2N.2W.11
   163 |     32 | 4N.1W.2
   164 |     32 | 4N.1W.3
   165 |     32 | 5N.1W.25
   166 |     32 | 5N.1W.26
   167 |     32 | 5N.1W.27
   168 |     32 | 5N.1W.34
   169 |     32 | 5N.1W.35
   170 |     32 | 5N.1W.36
   194 |     36 | 3S.1W.3
   197 |     36 | 2S.1W.28
   206 |     38 | 4N.1W.2
   207 |     38 | 4N.1W.3
   208 |     38 | 5N.1W.26
   209 |     38 | 5N.1W.27
   210 |     38 | 5N.1W.33
   211 |     38 | 5N.1W.34
   212 |     38 | 5N.1W.35
   215 |     39 | 6N.2E.19
   221 |     39 | 6N.2E.30
   255 |     41 | 5S.2E.32
   256 |     41 | 5S.2E.33
   278 |     44 | 4S.3E.18
   320 |     46 | 6N.1E.20
   321 |     46 | 6N.1E.29
   323 |     47 | 5N.1W.23
   324 |     47 | 5N.1W.24
   325 |     47 | 5N.1W.25
   326 |     47 | 5N.1W.26
   328 |     48 | 6N.1E.16
   329 |     48 | 6N.1E.21
   332 |     48 | 6N.1E.28
   343 |     50 | 3N.1W.18
   344 |     51 | 3N.2W.25
   351 |     52 | 4N.1W.31
   353 |     52 | 6N.1E.19
   364 |     54 | 5N.1W.22
   365 |     54 | 5N.1W.27
   366 |     55 | 3N.2W.25
   370 |     56 | 2N.1W.1
   371 |     56 | 2N.1W.2
   372 |     56 | 3N.1W.35
   376 |     57 | 2N.1W.15
   378 |     58 | 2N.1W.1
   379 |     58 | 2N.1W.2
   381 |     58 | 2N.1W.12
   384 |     59 | 3N.2W.35
   406 |     63 | 5N.1W.26
   407 |     63 | 5N.1W.27
   408 |     64 | 5N.1W.27
   409 |     64 | 5N.1W.34
   413 |     65 | 3N.1W.35
   416 |     67 | 5N.1E.3
   417 |     67 | 5N.1E.4
   418 |     68 | 5N.1W.27
   419 |     69 | 5N.1W.27
   420 |     70 | 5N.1W.25
   421 |     70 | 5N.1W.36
   422 |     71 | 5N.1W.33
   423 |     72 | 2N.2W.2
   425 |     73 | 6N.1E.5
   426 |     73 | 6N.1E.6
   428 |     73 | 7N.1E.31
