1,"02N","1W",",33,34,"
1,"01N","1W",",2,3,4,9,10,11,"
2,"02N","2W",",3,4,9,10,"
3,"03N","2W",",35,36,"
3,"03N","1W",",31,"
3,"02N","2W",",1,2,11,12,"
3,"02N","1W",",6,7,"
4,"03N","2W",",22,"
5,"06N","1E",",18,19,30,"
5,"06N","1W",",13,24,25,"
6,"02N","1E",",8,17,"
7,"02S","5E",",27,28,33,34,"
8,"02S","5E",",7,18,"
8,"02S","4E",",11,12,13,14,23,24,"
9,"02N","1W",",3,4,"
9,"03N","1W",",33,34,"
10,"02N","1W",",6,"
10,"03N","1W",",30,31,"
11,"03N","2W",",35,36,"
11,"03N","1W",",31,"
11,"02N","2W",",1,2,11,12,"
11,"02N","1W",",6,7,"
12,"02N","1E",",6,7,"
12,"02N","1W",",1,2,11,12,"
12,"03N","1E",",31,"
12,"03N","1W",",35,36,"
13,"02N","2W",",1,2,11,12,"
14,"03N","2W",",13,24,25,"
14,"03N","1W",",18,19,30,"
15,"03N","1W",",5,6,"
16,"02N","1W",",5,"
16,"03N","1W",",32,"
17,"05N","1E",",3,4,5,"
17,"06N","1E",",28,29,32,33,34,"
18,"06N","1E",",21,22,27,28,29,"
19,"03N","1W",",26,27,28,33,34,35,"
20,"02N","1W",",19,20,29,30,31,32,"
20,"02N","2W",",24,25,36,"
21,"06N","2E",",5,6,"
21,"07N","1E",",25,26,35,36,"
21,"06N","1E",",1,2,"
21,"07N","2E",",31,32,"
22,"03N","1W",",26,27,34,35,"
23,"03N","1W",",34,35,"
24,"04N","1W",",2,3,10,11,12,13,14,15,"
25,"05N","1W",",27,28,33,34,"
26,"05N","1W",",27,28,33,34,"
27,"04N","2E",",22,23,24,"
28,"02N","1W",",2,"
28,"03N","1W",",35,"
29,"02N","1E",",7,"
29,"02N","1W",",12,"
30,"02N","2W",",2,3,10,11,"
31,"05S","4E",",10,11,13,14,15,22,23,24,25,26,"
32,"05N","1W",",25,26,27,34,35,36,"
32,"04N","1W",",2,3,"
33,"05N","4E",",4,5,8,9,"
34,"01S","1W",",15,16,17,20,21,22,27,28,29,"
35,"03N","2W",",15,16,17,20,21,22,27,28,29,"
36,"02S","1W",",28,29,32,33,34,35,"
36,"03S","1W",",2,3,10,11,"
37,"05N","1E",",32,33,34,"
38,"05N","1W",",26,27,33,34,35,"
38,"04N","1W",",2,3,"
39,"05N","2E",",4,5,"
39,"06N","2E",",19,20,21,27,28,29,30,31,32,33,34,"
40,"03S","4E",",27,28,29,30,31,32,33,34,"
40,"04S","4E",",3,4,5,6,"
41,"05S","2E",",14,15,16,17,18,19,20,21,22,23,27,28,29,30,31,32,33,34,"
41,"05S","1E",",24,25,"
42,"04S","5E",",24,25,26,35,36,"
42,"04S","6E",",19,28,29,30,31,"
43,"05S","4E",",18,19,30,"
43,"05S","3E",",13,23,24,25,26,"
44,"04S","3E",",18,19,"
44,"04S","2E",",13,24,"
45,"05S","3E",",19,30,31,"
45,"05S","1E",",11,12,13,14,24,25,"
45,"04S","2E",",33,"
45,"05S","2E",",4,5,7,8,9,15,16,17,18,19,20,21,22,24,25,27,28,29,30,31,32,33,34,35,36,"
46,"06N","1W",",24,25,"
46,"06N","1E",",17,18,19,20,29,30,"
47,"05N","1W",",23,24,25,26,"
48,"06N","1E",",15,16,21,22,27,28,"
49,"04S","5E",",24,25,26,35,36,"
49,"04S","6E",",19,28,29,30,31,"
50,"03N","1W",",18,"
51,"03N","2W",",25,26,35,36,"
52,"03N","1W",",6,"
52,"06N","1E",",18,19,"
52,"03N","2W",",1,"
52,"04N","2W",",36,"
52,"04N","1W",",31,"
53,"01S","2W",",6,7,18,19,30,"
53,"01S","3W",",1,11,12,13,14,"
54,"05N","1W",",22,27,"
55,"03N","2W",",25,26,35,36,"
56,"02N","1W",",1,2,"
56,"03N","1W",",35,36,"
57,"02N","1W",",9,10,15,16,"
58,"02N","1W",",1,2,11,12,"
58,"02N","1E",",6,7,"
59,"03N","2W",",35,"
60,"05N","1E",",21,22,23,26,27,28,"
61,"03N","1W",",2,3,4,"
61,"04N","1W",",27,28,33,34,35,"
62,"05N","2E",",3,4,5,"
62,"06N","2E",",31,32,33,34,"
63,"05N","1W",",26,27,"
64,"05N","1W",",27,34,"
65,"03N","1W",",26,27,34,35,"
66,"05N","1W",",16,21,"
67,"05N","1E",",3,4,"
68,"05N","1W",",27,"
69,"05N","1W",",27,"
70,"05N","1W",",25,36,"
71,"05N","1W",",33,"
72,"02N","2W",",2,"
73,"06N","1W",",1,"
73,"06N","1E",",5,6,7,"
73,"07N","1E",",31,"
74,"08N","1E",",29,30,31,32,"
74,"07N","1E",",5,6,"
74,"08N","1W",",25,36,"
75,"05N","1E",",16,17,"
76,"06N","1E",",15,"
77,"06N","1E",",1,"
77,"06N","2E",",6,"
78,"02N","1W",",5,6,"
79,"05N","1W",",25,26,27,34,35,36,"
79,"05N","1E",",30,31,"
79,"04N","1W",",1,2,3,"
79,"04N","1E",",6,"
80,"06N","1W",",1,12,13,"
80,"06N","1E",",5,6,7,8,17,18,"
81,"04N","1W",",11,14,"
82,"07N","2E",",31,"
82,"07N","1E",",22,23,24,25,26,27,34,35,36,"
82,"06N","1E",",1,2,"
82,"06N","2E",",6,"
83,"05N","1E",",22,23,26,27,"
84,"06N","2E",",31,32,33,34,"
84,"05N","2E",",3,4,5,6,"
85,"05N","1W",",26,27,28,33,34,35,"
86,"02N","2E",",13,14,23,24,25,26,35,36,"
87,"02N","2W",",34,35,"
87,"01N","2W",",2,3,"
88,"04S","3E",",2,3,10,11,14,15,"
89,"03N","1W",",33,34,35,"
89,"02N","1W",",2,3,4,"
90,"05N","1W",",27,"
91,"04N","1W",",18,19,"
91,"04N","2W",",24,"
92,"02N","1W",",36,"
92,"02N","1E",",31,"
93,"04N","1W",",2,3,"
93,"05N","1W",",25,26,27,34,35,36,"
94,"05N","1E",",13,24,"
94,"05N","2E",",18,19,"
95,"05N","1W",",28,33,"
96,"02N","1W",",6,"
96,"03N","2W",",13,14,23,24,"
96,"02N","2W",",1,12,"
97,"03N","1W",",26,27,34,35,"
98,"06N","2E",",19,20,29,30,"
98,"06N","1E",",24,25,"
99,"06N","1E",",4,5,"
99,"07N","1E",",32,33,"
100,"02N","2W",",1,2,3,10,11,"
100,"03N","2W",",34,35,36,"
101,"03N","1E",",19,20,29,30,31,32,"
102,"05N","1E",",1,2,3,10,11,12,"
103,"02N","1E",",4,5,6,"
103,"02N","1W",",1,"
103,"03N","1W",",36,"
103,"03N","1E",",29,30,31,32,33,"
104,"05N","1W",",25,26,35,36,"
105,"02N","1E",",21,22,23,26,27,28,"
106,"04N","1W",",2,3,"
106,"05N","1W",",26,27,28,33,34,35,"
107,"05N","1E",",1,2,3,10,11,12,13,14,15,23,24,"
108,"05N","1W",",25,26,35,36,"
109,"02S","1W",",7,18,"
109,"02S","2W",",11,12,13,14,23,24,"
110,"06N","1E",",33,34,35,"
110,"05N","1E",",2,3,4,10,11,"
111,"03S","6E",",6,7,18,"
111,"03S","5E",",1,2,3,4,5,8,9,10,11,12,13,14,15,16,"
111,"02S","5E",",20,21,22,26,27,28,29,30,31,32,33,34,35,36,"
112,"03S","3E",",25,36,"
112,"03S","4E",",30,31,"
112,"04S","3E",",1,"
113,"03S","2E",",25,36,"
113,"03S","3E",",28,29,30,31,32,33,34,"
113,"04S","3E",",3,4,5,6,"
113,"04S","2E",",1,"
114,"03N","1W",",36,"
114,"03N","1E",",31,32,"
114,"02N","1W",",1,12,"
114,"02N","1E",",5,6,7,8,"
115,"05N","1E",",8,9,16,17,19,20,"
116,"05N","1E",",19,20,21,28,29,30,"
116,"05N","1W",",25,"
117,"02N","1E",",17,18,"
118,"05N","1E",",1,2,"
118,"06N","1E",",25,26,35,36,"
118,"06N","2E",",30,31,"
119,"06N","2E",",17,18,19,"
119,"06N","1E",",13,24,"
120,"02N","1W",",3,4,"
120,"03N","1W",",33,34,"
121,"02N","1W",",2,3,4,9,10,11,16,"
121,"03N","1W",",33,34,"
122,"07N","1E",",8,9,16,17,19,20,21,28,29,30,31,32,33,"
122,"06N","1E",",4,5,"
123,"06N","2E",",7,8,17,18,"
124,"04N","1W",",1,"
124,"04N","1E",",5,6,"
124,"05N","1E",",29,30,31,32,"
124,"05N","1W",",25,36,"
125,"03N","2W",",13,24,"
125,"03N","1W",",7,8,9,16,17,18,19,20,"
126,"05N","1W",",22,23,24,25,26,27,"
127,"04S","2E",",13,24,"
127,"04S","3E",",18,19,"
128,"04S","2E",",11,12,13,14,23,24,"
128,"04S","3E",",7,18,19,"
129,"02N","2W",",3,4,5,6,7,8,9,"
129,"03N","2W",",32,33,34,"
130,"01N","1E",",23,24,25,26,"
131,"04S","4E",",25,26,27,28,33,34,35,36,"
131,"05S","4E",",4,"
132,"06N","3E",",28,29,31,32,33,"
132,"05N","3E",",4,5,"
133,"02N","1W",",23,24,25,26,35,36,"
134,"07N","1E",",29,30,31,32,"
134,"06N","1E",",5,6,"
135,"02N","1E",",8,17,20,"
136,"04S","3E",",31,32,33,"
136,"05S","3E",",5,6,"
137,"03S","3E",",23,24,25,26,27,34,35,36,"
138,"05N","3E",",31,"
138,"05N","2E",",34,35,36,"
138,"04N","3E",",6,"
138,"04N","2E",",1,2,3,"
139,"04N","2E",",3,4,5,8,"
139,"05N","2E",",34,"
140,"06N","1E",",4,5,8,9,"
141,"06N","1E",",1,12,13,"
141,"07N","2E",",29,30,31,32,"
141,"06N","2E",",6,7,8,17,18,"
142,"05N","1W",",23,24,25,26,"
142,"05N","1E",",28,29,33,"
143,"04N","2E",",26,27,34,35,"
143,"08N","1W",",11,14,23,"
143,"03N","1W",",25,26,27,34,35,36,"
143,"03N","2E",",2,3,10,11,"
144,"02S","1W",",18,19,30,31,"
144,"02S","2W",",13,24,25,36,"
145,"03N","2W",",15,22,"
146,"05N","1W",",24,25,"
146,"01N","1E",",6,"
146,"03N","1W",",21,28,33,"
146,"02N","1W",",4,35,36,"
146,"02N","1E",",31,"
146,"01N","1W",",1,2,"
147,"02S","2W",",23,24,25,26,"
147,"02S","1W",",19,30,"
148,"05N","1E",",4,9,"
148,"02N","1W",",2,3,10,11,"
149,"02S","2W",",12,13,"
149,"03S","1W",",4,5,6,7,8,9,"
149,"02S","1W",",7,17,18,"
150,"03N","1W",",18,"
