 map_id |    maptype     | book | page | npages |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              trs_paths                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |  recdate   |         surveyors          |                          client                          |                                                                        description                                                                        | note 
--------+----------------+------+------+--------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+----------------------------+----------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------
    135 | Survey         |    2 |   26 |      1 | {2N.1E.16,2N.1E.17,2N.1E.18,2N.1E.20,2N.1E.8}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1897-12-18 | F. HERRICK                 | CHARLES HUK                                              | S17 & E/2 NE/4 S18   #45                                                                                                                                  | 
   2172 | Survey         |   20 |  114 |      1 | {5N.1W.25.E,5N.1W.25.F,5N.1W.25.I,5N.1W.25.J,5N.1W.26.H,5N.1W.26.L}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 1963-02-26 | H. KELLY                   | I. HICKMAN                                               | SW/4 S25   MAPLE LN. & MCRAE LN.                                                                                                                          | 
   2944 | Survey         |   26 |  135 |      9 | {1N.4E.1,1N.5E.1,1N.5E.10,1N.5E.11,1N.5E.2,1N.5E.3,1N.5E.4,1N.5E.5,1N.5E.6,1N.5E.8,1N.5E.9,1N.6E.6,2N.4E.25,2N.4E.36,2N.5E.16,2N.5E.17,2N.5E.18,2N.5E.19,2N.5E.20,2N.5E.21,2N.5E.22,2N.5E.23,2N.5E.25,2N.5E.26,2N.5E.27,2N.5E.28,2N.5E.29,2N.5E.30,2N.5E.31,2N.5E.32,2N.5E.33,2N.5E.34,2N.5E.35,2N.5E.36,2N.6E.30,2N.6E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1971-05-19 | E. NORRIS                  | TIMBERLINE RANCH ES.                                     | S20, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36 2N,5E + S3, S4 1N,5E                                                                                | 
   2998 | Survey         |   27 |   70 |      1 | {2N.1W.7,2N.2W.12}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 1971-08-31 | H. KELLY                   | GEORGE HAY                                               | SE/4 S12 & SW/4 S12 2N,2W   WILLIAMS CREEK RD. & WILLIAMS CREEK                                                                                           | 
   3401 | Survey         |   30 |   90 |      1 | {4N.1E.6,5N.1E.31.N,5N.1E.31.O}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1974-10-02 | A. NILSON                  | BETTE J. DAVIS                                           | NW/4 S6 4N,1E                                                                                                                                             | 
   3667 | Survey         |   32 |  112 |      1 | {5N.1W.25.H}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1976-02-19 | H. KELLY                   | TOM HAYES                                                | SE/4 NE/4 S25   HIGHLAND CIRCLE & EDGEWOOD ST.                                                                                                            | 
   4674 | Survey         |   41 |    4 |      1 | {10N.4E.36,10N.5E.31,9N.4E.1,9N.5E.6}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1982-12-08 | M. MOORE                   | SIMPSON TIMBER CO.                                       | SE/4 S36 10N,4E + SW/4 S31 10N,5E   HWY 96 & JOE MARINE CR.   CC 2011-10275-1                                                                             | 
   4815 | Survey         |   42 |   19 |      1 | {7N.1E.26.A,7N.1E.26.B,7N.1E.26.E,7N.1E.26.F,7N.1E.26.I,7N.1E.26.J}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 1983-11-30 | H. KELLY                   | ROBERT THOMPSON                                          | SE/4 NW/4 S26   5TH ST. & EVANS ST. - 7TH ST. & KINGSTONE ST.                                                                                             | 
   4868 | Survey         |   42 |   88 |      1 | {11N.3E.17,11N.3E.18,11N.3E.7,11N.3E.8}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 1984-04-05 | M. MCGEE                   | B. I. A.                                                 | SE/4 S7 & SW/4 S8   ALONG HWY 169   JOHNSON VILLAGE                                                                                                       | 
   6905 | Survey         |   58 |   46 |      1 | {4S.4E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 1998-02-23 | D. BUSHNELL (DONALD)       | MICLETTE & BENBOW                                        | NW/4 NW/4 S31   OAKCREST DR.   LLA                                                                                                                        | 
   7040 | Survey         |   59 |   59 |      1 | {4N.1W.2.E,4N.1W.2.F}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1999-06-02 | N. PENFOLD                 | SWANSON & PAVLICH                                        | SE/4 NW/4 S2   CAMPTON RD. & LESLIE RD.   LLA                                                                                                             | 
   7061 | Survey         |   59 |   84 |      1 | {5N.1W.25.O}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1999-07-28 | J. OLSON                   | RON MODINE                                               | SW/4 SE/4 S25   MYRTLE AVE. & RUSSELL LN.                                                                                                                 | 
   7108 | Survey         |   59 |  138 |      1 | {5N.1W.25.N,5N.1W.25.O,5N.1W.36.B,5N.1W.36.C}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 2000-01-24 | M. O'HERN                  | JAMES COFFEY                                             | SW/4 SE/4 S25   MYRTLE AVE. & RUSSELL LN.                                                                                                                 | 
   7896 | Parcel Map     |    6 |   32 |      2 | {3N.1W.7,3N.1W.8}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 1976-02-13 | H. KELLY                   | WILLIAM T. HIGHT                                         | E/2 NE/4 S7 & W/2 NW/4 S8   NE OF TABLE BLUFF RD.                                                                                                         | 
